Gene Symbol	Cancer Gene Census	MuSIC	OncodriveFM	OncodriveCLUST	ActiveDriver	MutSig	Putative Driver Category
AARS2						1	High Confidence Driver
ABCB1		1	1			1	High Confidence Driver
ABL1	1				1		High Confidence Driver
ACVR1B		1	1				High Confidence Driver
ADAM10			1				High Confidence Driver
ADCY1		1					High Confidence Driver
ADORA2A		1					High Confidence Driver
AHNAK2		1			1		High Confidence Driver
AJUBA		1	1				High Confidence Driver
AKAP9	1		1			1	High Confidence Driver
AKD1						1	High Confidence Driver
AKT1	1	1	1	1		1	High Confidence Driver
AMPH		1					High Confidence Driver
ANAPC1					1		High Confidence Driver
ANKRD12			1			1	High Confidence Driver
APAF1			1				High Confidence Driver
APC	1	1	1	1		1	High Confidence Driver
AR		1					High Confidence Driver
ARHGAP32					1		High Confidence Driver
ARHGAP35		1	1				High Confidence Driver
ARHGEF6			1				High Confidence Driver
ARID1A	1	1	1			1	High Confidence Driver
ARID2	1		1			1	High Confidence Driver
ARID5B		1	1				High Confidence Driver
ASPM		1			1		High Confidence Driver
ASXL1	1	1	1				High Confidence Driver
ATG13			1				High Confidence Driver
ATM	1	1	1			1	High Confidence Driver
ATR		1	1				High Confidence Driver
ATRX	1	1	1		1	1	High Confidence Driver
AXIN2		1	1				High Confidence Driver
B2M			1	1		1	High Confidence Driver
BAP1	1	1	1			1	High Confidence Driver
BARD1					1		High Confidence Driver
BCLAF1		1			1		High Confidence Driver
BCOR	1					1	High Confidence Driver
BLM	1		1			1	High Confidence Driver
BRAF	1	1		1	1	1	High Confidence Driver
BRCA1	1	1	1			1	High Confidence Driver
BRCA2	1	1	1			1	High Confidence Driver
BUB1B	1					1	High Confidence Driver
CAD			1				High Confidence Driver
CARM1			1				High Confidence Driver
CASP8		1	1	1		1	High Confidence Driver
CAST			1		1		High Confidence Driver
CBFB	1	1	1	1		1	High Confidence Driver
CCAR1			1				High Confidence Driver
CCND1	1	1	1		1	1	High Confidence Driver
CDC73	1		1				High Confidence Driver
CDH1	1	1	1			1	High Confidence Driver
CDK12	1	1	1		1	1	High Confidence Driver
CDKN1A		1	1			1	High Confidence Driver
CDKN1B		1	1			1	High Confidence Driver
CDKN2A	1	1	1	1		1	High Confidence Driver
CDKN2C	1	1					High Confidence Driver
CEBPA	1	1	1			1	High Confidence Driver
CFH		1	1				High Confidence Driver
CHD4			1			1	High Confidence Driver
CHD8			1				High Confidence Driver
CHEK2	1	1		1		1	High Confidence Driver
CIC	1				1		High Confidence Driver
CLIP1					1		High Confidence Driver
CLTC	1		1				High Confidence Driver
CLTCL1	1				1		High Confidence Driver
COL18A1		1					High Confidence Driver
CREB1	1					1	High Confidence Driver
CRTC1	1	1					High Confidence Driver
CRTC3	1				1		High Confidence Driver
CSDE1		1					High Confidence Driver
CTCF		1	1	1	1	1	High Confidence Driver
CTNNB1	1	1	1	1	1	1	High Confidence Driver
CTNND1			1				High Confidence Driver
CTTN			1				High Confidence Driver
CUL1			1				High Confidence Driver
CYLD	1		1				High Confidence Driver
DDX5	1					1	High Confidence Driver
DHX9			1				High Confidence Driver
DICER1	1		1				High Confidence Driver
DMD		1				1	High Confidence Driver
DNMT3A	1	1	1	1		1	High Confidence Driver
DOCK2		1					High Confidence Driver
EEF1A1			1		1		High Confidence Driver
EGFR	1	1	1	1	1	1	High Confidence Driver
EIF4A2	1	1					High Confidence Driver
ELF3		1	1			1	High Confidence Driver
EP300	1	1	1			1	High Confidence Driver
ERBB2	1			1	1	1	High Confidence Driver
ERBB2IP					1		High Confidence Driver
ERCC2	1	1	1			1	High Confidence Driver
ESR1					1		High Confidence Driver
EWSR1	1					1	High Confidence Driver
EZH2	1	1					High Confidence Driver
FANCA	1					1	High Confidence Driver
FBN2		1	1				High Confidence Driver
FBXO11	1					1	High Confidence Driver
FBXW7	1	1	1	1		1	High Confidence Driver
FES			1				High Confidence Driver
FGFR2	1	1	1	1		1	High Confidence Driver
FGFR3	1	1	1	1		1	High Confidence Driver
FLT3	1	1	1	1	1	1	High Confidence Driver
FN1			1				High Confidence Driver
FOXA1		1	1				High Confidence Driver
FOXA2		1	1	1			High Confidence Driver
FRG1B		1	1	1			High Confidence Driver
GATA3	1	1	1			1	High Confidence Driver
GNAI1			1				High Confidence Driver
GNAS	1		1			1	High Confidence Driver
GOLGA5	1		1			1	High Confidence Driver
GOT2			1	1			High Confidence Driver
GPHN	1					1	High Confidence Driver
GPS2		1				1	High Confidence Driver
GTF2H1			1				High Confidence Driver
H3F3C		1	1				High Confidence Driver
HGF		1					High Confidence Driver
HLA-A		1	1			1	High Confidence Driver
HLA-B		1	1				High Confidence Driver
HMGXB4		1	1				High Confidence Driver
HRAS	1		1	1		1	High Confidence Driver
HSP90AB1	1		1				High Confidence Driver
HSPA8					1		High Confidence Driver
HUWE1					1		High Confidence Driver
IDH1	1	1	1	1	1	1	High Confidence Driver
IDH2	1	1	1	1	1	1	High Confidence Driver
IRS2		1					High Confidence Driver
ITGA6					1		High Confidence Driver
JAK2	1					1	High Confidence Driver
KALRN			1				High Confidence Driver
KDM5C	1	1	1			1	High Confidence Driver
KDM6A	1	1	1	1		1	High Confidence Driver
KEAP1		1	1	1		1	High Confidence Driver
KIAA1109			1			1	High Confidence Driver
KIFC3		1					High Confidence Driver
KIT	1	1		1	1	1	High Confidence Driver
KRAS	1	1	1	1		1	High Confidence Driver
LCP1	1					1	High Confidence Driver
LEPR		1	1				High Confidence Driver
LIFR	1	1					High Confidence Driver
LPP	1		1				High Confidence Driver
LRRK2		1			1		High Confidence Driver
LUM		1		1			High Confidence Driver
LYN			1				High Confidence Driver
LZTR1			1	1			High Confidence Driver
MALAT1	1	1					High Confidence Driver
MAP2K4	1	1	1	1		1	High Confidence Driver
MAP3K1		1	1			1	High Confidence Driver
MAP3K3					1		High Confidence Driver
MAP3K4						1	High Confidence Driver
MAPK8IP1		1					High Confidence Driver
MAST2			1		1		High Confidence Driver
MATK			1				High Confidence Driver
