gene,Bailey,CGC_Tier1,Kandoth,Lawrence_nonstringent,oncoKB,Tamborero_HCD,Vogelstein,sum_score,weighted_score
ABL1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5,0.587
AKT1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
ALK,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,5,0.603
AMER1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,0.212
APC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
AR,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,0.863
ARID1A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
ASXL1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
ATM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
ATRX,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,0.863
AXIN1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,0.466
BAP1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
BCL2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,0.466
BCOR,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,0.724
BRAF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
BRCA1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
BRCA2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,0.863
CARD11,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,5,0.603
CBL,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,0.349
CDC73,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4,0.470
CDH1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
CDKN2A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
CEBPA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
CIC,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5,0.587
CREBBP,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,5,0.603
CTNNB1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
DAXX,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,0.349
DNMT3A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
EGFR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
EP300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
ERBB2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,0.724
EZH2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
FBXW7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
FGFR2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
FGFR3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
FLT3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
FOXL2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,0.349
GATA3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1.000
