gene,type,freq
AARS2,cancer related,57505
ABCB1,cancer related,5243
ABI1,tsg,10006
ABL1,oncogene,25
ABL2,oncogene,27
ABRAXAS1,tsg,84142
ACKR3,oncogene,57007
ACO1,cancer related,48
ACSL3,cancer related,2181
ACSL6,cancer related,23305
ACTB,cancer related,60
ACTG1,tsg,71
ACVR1,oncogene,90
ACVR1B,cancer related,91
ACVR2A,tsg,92
ACVR2B,cancer related,93
ADAM10,cancer related,102
ADCY1,cancer related,107
ADGRA2,cancer related,25960
ADNP,cancer related,23394
ADORA2A,cancer related,135
AFDN,oncogene,4301
AFF1,cancer related,4299
AFF3,oncogene,3899
AFF4,oncogene,27125
AGO1,oncogene,26523
AGO2,cancer related,27161
AHNAK2,cancer related,113146
AJUBA,tsg,84962
AK9,cancer related,221264
AKAP9,cancer related,10142
AKD1,cancer related,221264
AKT1,oncogene,207
AKT2,oncogene,208
AKT3,oncogene,10000
AL035425.2,cancer related,na
ALB,cancer related,213
ALK,oncogene,238
ALKBH6,cancer related,84964
ALOX12B,cancer related,242
ALPK2,cancer related,115701
AMER1,tsg,139285
AMPH,cancer related,273
ANAPC1,cancer related,64682
ANK3,cancer related,288
ANKRD11,tsg,29123
ANKRD12,cancer related,23253
APAF1,cancer related,317
APC,tsg,324
APH1A,cancer related,51107
APLNR,oncogene/tsg,187
APOB,cancer related,338
APOBEC3B,oncogene/tsg,9582
APOL2,cancer related,23780
AR,oncogene,367
ARAF,oncogene,369
ARFRP1,cancer related,10139
ARHGAP26,tsg,23092
ARHGAP32,cancer related,9743
ARHGAP35,oncogene/tsg,2909
ARHGEF12,tsg,23365
ARHGEF28,oncogene,64283
ARHGEF6,cancer related,9459
ARID1A,tsg,8289
ARID1B,tsg,57492
ARID2,tsg,196528
ARID3A,tsg,1820
ARID3B,oncogene,10620
ARID3C,cancer related,138715
ARID4A,tsg,5926
ARID4B,tsg,51742
ARID5A,cancer related,10865
ARID5B,tsg,84159
ARNT,oncogene/tsg,405
ASMTL,cancer related,8623
ASPM,cancer related,259266
ASPSCR1,cancer related,79058
ASXL1,tsg,171023
ASXL2,tsg,55252
ATF1,oncogene,466
ATF7IP,cancer related,55729
ATG13,cancer related,9776
ATG5,cancer related,9474
ATIC,cancer related,471
ATM,tsg,472
ATP1A1,oncogene/tsg,476
ATP2B3,tsg,492
ATP6AP1,cancer related,537
ATP6V1B2,tsg,526
ATR,tsg,545
ATRX,tsg,546
ATXN2,tsg,6311
ATXN3,cancer related,4287
ATXN7,oncogene,6314
AURKA,oncogene,6790
AURKB,oncogene,9212
AXIN1,tsg,8312
AXIN2,tsg,8313
AXL,oncogene,558
AZGP1,cancer related,563
B2M,tsg,567
B4GALT3,cancer related,8703
BABAM1,cancer related,29086
BACH2,tsg,60468
BAP1,tsg,8314
BARD1,tsg,580
BAX,tsg,581
BBC3,tsg,27113
BCL10,tsg,8915
BCL11A,oncogene,53335
BCL11B,MPT:tsg||||COSMIC:oncogene/tsg,64919
BCL2,oncogene,596
BCL2L1,cancer related,598
BCL2L11,tsg,10018
BCL2L2,cancer related,599
BCL3,oncogene,602
BCL6,oncogene,604
BCL7A,cancer related,605
BCL9,oncogene,607
BCL9L,oncogene/tsg,283149
BCLAF1,cancer related,9774
BCOR,tsg,54880
BCORL1,MPT:tsg||||COSMIC:oncogene/tsg,63035
BCR,oncogene,613
BHMT2,cancer related,23743
BIRC3,oncogene/tsg,330
BLM,tsg,641
BMPR1A,MPT:tsg||||COSMIC:oncogene/tsg,657
BRAF,oncogene,673
BRCA1,tsg,672
BRCA2,tsg,675
BRD3,oncogene,8019
BRD4,oncogene,23476
BRD7,cancer related,29117
BRIP1,tsg,83990
BRSK1,cancer related,84446
BTG1,tsg,694
BTG2,cancer related,7832
BTK,MPT:oncogene||||COSMIC:oncogene/tsg,695
BTLA,cancer related,151888
BUB1B,tsg,701
C2orf44,cancer related,80304
C3orf70,cancer related,285382
CACNA1A,cancer related,773
CACNA1D,oncogene,776
CAD,cancer related,790
CALR,oncogene,811
