Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FIP1L1		2	2	3548	<0.1%	Yes
MYC		30	29	3548	0.8%	Yes
FOXP1		103	96	3548	2.7%	Yes
FLCN		121	109	3548	3.1%	Yes
INPP4A		77	70	3548	2.0%	Yes
MALT1		39	36	3384	1.1%	Yes
FOXO1		42	36	3384	1.1%	Yes
INPPL1		137	111	2551	4.4%	Yes
YAP1		35	30	3548	0.8%	Yes
MSI2		13	13	2551	0.5%	Yes
H3-5		25	24	3548	0.7%	Yes
NOTCH1		243	192	3548	5.4%	Yes
MYCL		14	14	3548	0.4%	Yes
INSR		76	71	3548	2.0%	Yes
NOTCH2		113	99	3548	2.8%	Yes
NOTCH3		321	242	3548	6.8%	Yes
MYCN		58	53	3548	1.5%	Yes
NOTCH4		200	177	3548	5.0%	Yes
CTCF		132	116	3548	3.3%	Yes
MYD88		22	22	3548	0.6%	Yes
IRF4		66	61	3548	1.7%	Yes
IDH1		43	41	3548	1.2%	Yes
ANKRD11		249	189	3384	5.6%	Yes
HNF1A		119	107	3548	3.0%	Yes
STK40		28	26	3548	0.7%	Yes
TCF3		105	99	3384	2.9%	Yes
FLT4		208	180	3548	5.1%	Yes
CD274		9	9	3548	0.3%	Yes
FLT3		74	64	3548	1.8%	Yes
RPTOR		98	90	3548	2.5%	Yes
CHEK1		45	43	3548	1.2%	Yes
FLT1		124	103	3548	2.9%	Yes
VTCN1		13	13	3548	0.4%	Yes
CALR		23	23	3384	0.7%	Yes
ELOC		3	3	3384	<0.1%	Yes
TBX3		119	103	3548	2.9%	Yes
IDH2		38	36	3548	1.0%	Yes
NPM1		10	10	3548	0.3%	Yes
KDR		154	129	3548	3.6%	Yes
SPRED1		33	31	2551	1.2%	Yes
CTLA4		30	30	3548	0.8%	Yes
NEGR1		41	40	3384	1.2%	Yes
PTEN		289	219	3548	6.2%	Yes
PLK2		69	66	3548	1.9%	Yes
RECQL		54	47	2551	1.8%	Yes
IRS1		156	139	3548	3.9%	Yes
REL		41	35	3548	1.0%	Yes
MAP2K1		55	54	3548	1.5%	Yes
TCF7L2		517	473	3384	14.0%	Yes
MAP2K2		32	31	3548	0.9%	Yes
PTCH1		209	160	3548	4.5%	Yes
KMT2C		318	243	3548	6.8%	Yes
NF2		44	42	3548	1.2%	Yes
NRAS		158	157	3548	4.4%	Yes
CDK6		16	15	3548	0.4%	Yes
CDK4		20	20	3548	0.6%	Yes
CDC73		67	59	3548	1.7%	Yes
STAG2		75	68	3548	1.9%	Yes
CTNNB1		237	220	3548	6.2%	Yes
DROSHA		93	83	2551	3.3%	Yes
NF1		211	164	3548	4.6%	Yes
UPF1		74	65	2551	2.5%	Yes
AGO2		70	64	2551	2.5%	Yes
RET		101	93	3548	2.6%	Yes
NFE2L2		33	31	3548	0.9%	Yes
CDKN2C		12	12	3548	0.3%	Yes
ETV6		47	47	3548	1.3%	Yes
CDKN2B		25	25	3548	0.7%	Yes
ASXL2		115	87	3548	2.5%	Yes
CDKN2A		66	64	3548	1.8%	Yes
DCUN1D1		21	20	3548	0.6%	Yes
CDKN1B		39	38	3548	1.1%	Yes
CDKN1A		12	12	3548	0.3%	Yes
ETV1		76	69	3548	1.9%	Yes
CASP8		166	143	3548	4.0%	Yes
CDK8		53	50	3548	1.4%	Yes
CREBBP		277	208	3548	5.9%	Yes
MTOR		201	172	3548	4.8%	Yes
TET1		158	127	3548	3.6%	Yes
MYOD1		70	67	3548	1.9%	Yes
BCL6		56	52	3548	1.5%	Yes
SRC		49	49	3548	1.4%	Yes
